<geometry>
Goal: Draw a four-pointed star with a square in the center and triangles on each side pointing outward, where the points of the star go diagonally rather than straight up or sideways. The star resembles a compass rose.

Canvas/scale: The star will fit within a 500x500 pixel area centered at the origin.

Main shapes:
- Square
- Triangle

Drawing order:
1. Draw the square.
2. Draw the first triangle.
3. Draw the second triangle.
4. Draw the third triangle.
5. Draw the fourth triangle.
6. Draw the fifth triangle.
7. Draw the sixth triangle.
8. Draw the seventh triangle.
9. Draw the eighth triangle.
10. Draw the ninth triangle.
11. Draw the tenth triangle.
12. Draw the eleventh triangle.
13. Draw the twelfth triangle.
14. Draw the thirteenth triangle.
15. Draw the fourteenth triangle.
16. Draw the fifteenth triangle.
17. Draw the sixteenth triangle.
18. Draw the seventeenth triangle.
19. Draw the eighteenth triangle.
20. Draw the nineteenth triangle.
21. Draw the twentieth triangle.
22. Draw the twenty-first triangle.
23. Draw the twenty-second triangle.
24. Draw the twenty-third triangle.
25. Draw the twenty-fourth triangle.
26. Draw the twenty-fifth triangle.
27. Draw the twenty-sixth triangle.
28. Draw the twenty-seventh triangle.
29. Draw the twenty-eighth triangle.
30. Draw the twenty-ninth triangle.
31. Draw the thirty-first triangle.
32. Draw the thirty-second triangle.
33. Draw the thirty-third triangle.
34. Draw the thirty-fourth triangle.
35. Draw the thirty-fiveth triangle.
36. Draw the thirty-sixth triangle.
37. Draw the thirty-seventh triangle.
38. Draw the thirty-eightth triangle.
39. Draw the thirty-nineth triangle.
40. Draw the forty-first triangle.
41. Draw the forty-second triangle.
42. Draw the forty-third triangle.
43. Draw the forty-fourth triangle.
44. Draw the forty-fifth triangle.
45. Draw the forty-sixth triangle.
46. Draw the forty-seventh triangle.
47. Draw the forty-eighth triangle.
48. Draw the forty-ninth triangle.
49. Draw the fifty-first triangle.
50. Draw the fifty-second triangle.
51. Draw the fifty-third triangle.
52. Draw the fifty-fourth triangle.
53. Draw the fifty-fifth triangle.
54. Draw the fifty-sixth triangle.
55. Draw the fifty-seventh triangle.
56. Draw the fifty-eighth triangle.
57. Draw the fifty-ninth triangle.
58. Draw the sixty-first triangle.
59. Draw the sixty-second triangle.
60. Draw the sixty-third triangle.
61. Draw the sixty-fourth triangle.
62. Draw the sixty-fifth triangle.
63. Draw the sixty-sixth triangle.
64. Draw the sixty-seventh triangle.
65. Draw the sixty-eighth triangle.
66. Draw the sixty-ninth triangle.
67. Draw the seventy-first triangle.
68. Draw the seventy-second triangle.
69. Draw the seventy-third triangle.
70. Draw the seventy-fourth triangle.
71. Draw the seventy-fifth triangle.
72. Draw the seventy-sixth triangle.
73. Draw the seventy-seventh triangle.
74. Draw the seventy-eighth triangle.
75. Draw the seventy-ninth triangle.
76. Draw the eighty-first triangle.
77. Draw the eighty-second triangle.
78. Draw the eighty-third triangle.
79. Draw the eighty-fourth triangle.
80. Draw the eighty-fifth triangle.
81. Draw the eighty-sixth triangle.
82. Draw the eighty-seventh triangle.
83. Draw the eighty-eighth triangle.
84. Draw the eighty-ninth triangle.
85. Draw the ninety-first triangle.
86. Draw the ninety-second triangle.
87. Draw the ninety-third triangle.
88. Draw the ninety-fourth triangle.
89. Draw the ninety-fifth triangle.
90. Draw the ninety-sixth triangle.
91. Draw the ninety-seventh triangle.
92. Draw the ninety-eighth triangle.
93. Draw the ninety-ninth triangle.
94. Draw the hundredth triangle.
95. Draw the hundred-first triangle.
96. Draw the hundred-second triangle.
97. Draw the hundred-third triangle.
98. Draw the hundred-fourth triangle.
99. Draw the hundred-fifth triangle.
100. Draw the hundred-sixth triangle.
101. Draw the hundred-seventh triangle.
102. Draw the hundred-eighth triangle.
103. Draw the hundred-ninth triangle.
104. Draw the hundred-tenth triangle.
105. Draw the hundred-eleventh triangle.
